,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
13131,13131,Renault Clio,Compact,15500,VAT deductible,11300.0,87.0,Used,Automatic,,other_fuel,120.0,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Keyless central door lock,Leather steering wheel,Light sensor,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,5.0,6.8,4.5,120.0,Part leather
13144,13144,Renault Clio,Compact,14990,,20261.0,,Used,Automatic,,other_fuel,,,,,,,3.0,No,12.0,,,,,
13198,13198,Renault Clio,Compact,15290,,13520.0,,Used,Automatic,,other_fuel,,,,,,,2.0,No,12.0,,,,,
13265,13265,Renault Clio,Station wagon,14440,,26500.0,87.0,Used,Automatic,,other_fuel,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio']","['Alloy wheels', 'Roof rack', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,2.0,No,,,,,,Part leather
13308,13308,Renault Clio,Sedans,12400,,,66.0,Used,Automatic,,Benzine,,"Air conditioning,Armrest,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering","['On-board computer', 'Radio']",['Alloy wheels'],"['Central door lock', 'Daytime running lights', 'Fog lights', 'Isofix', 'LED Daytime Running Lights']",6.0,2.0,No,,,,,,
13328,13328,Renault Clio,Sedans,13470,,22914.0,66.0,Used,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Navigation system,Park Distance Control","['On-board computer', 'Radio']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Side airbag', 'Traction control']",,3.0,No,12.0,,,,,
13347,13347,Renault Clio,Station wagon,11500,VAT deductible,17000.0,66.0,Used,Automatic,,Benzine,,"Cruise control,Leather steering wheel,Multi-function steering wheel,Navigation system,Parking assist system sensors rear,Power windows,Split rear seats,Start-stop system","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Roof rack', 'Touch screen']","['ABS', 'Central door lock', 'Electronic stability control', 'Power steering']",,3.0,No,,,,,,Cloth
13388,13388,Renault Clio,Compact,9900,,14230.0,66.0,Used,Automatic,,Benzine,,,,,,6.0,3.0,No,12.0,,,,,
13397,13397,Renault Clio,Sedans,8490,,23863.0,,Used,Automatic,,other_fuel,,"Air conditioning,Cruise control,Navigation system",['On-board computer'],,['Driver-side airbag'],,3.0,No,,,,,,
13864,13864,Renault Clio,Compact,16990,,10.0,,New,Automatic,,Benzine,,,,,,,0.0,No,12.0,,,,,
13885,13885,Renault Clio,Compact,8990,,9751.0,4.0,Used,Manual,,other_fuel,,Power windows,['On-board computer'],,"['ABS', 'Driver-side airbag', 'Immobilizer', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,2.0,No,12.0,,,,,
