,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
7949,7949,Opel Astra,Compact,17500,,1.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
7969,7969,Opel Astra,Compact,16990,,3000.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
7970,7970,Opel Astra,Compact,16990,,6.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
7971,7971,Opel Astra,Compact,16990,,6.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
7972,7972,Opel Astra,Compact,16990,,3000.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
7975,7975,Opel Astra,Sedans,16990,,1.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
8049,8049,Opel Astra,Sedans,15500,,9500.0,81.0,Used,Manual,,Benzine,,,,,,,0.0,No,,,,,,
8053,8053,Opel Astra,Compact,17800,,2970.0,81.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
8062,8062,Opel Astra,Station wagon,18190,VAT deductible,2835.0,92.0,Demonstration,Manual,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Heated steering wheel,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system camera,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'CD player', 'MP3', 'On-board computer', 'Radio']","['Alloy wheels', 'Roof rack', 'Sport seats']","['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traction control']",6.0,0.0,No,,,,,,Cloth
8115,8115,Opel Astra,Compact,18300,,3500.0,92.0,Used,Manual,,other_fuel,,,,,,6.0,0.0,No,12.0,,,,,
8116,8116,Opel Astra,Compact,18300,,3500.0,92.0,Used,Manual,,other_fuel,,,,,,6.0,0.0,No,12.0,,,,,
8128,8128,Opel Astra,Station wagon,18830,VAT deductible,10.0,92.0,Demonstration,Manual,140.0,other_fuel,,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Multi-function steering wheel,Park Distance Control,Parking assist system camera,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'CD player', 'MP3', 'On-board computer', 'Radio']","['Alloy wheels', 'Roof rack', 'Sport seats']","['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traction control']",6.0,0.0,No,,,,,,Cloth
8247,8247,Opel Corsa,Compact,12450,VAT deductible,20813.0,66.0,Used,Automatic,,other_fuel,140.0,"Air conditioning,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'CD player', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,Yes,,,7.8,4.9,140.0,Cloth
8269,8269,Opel Corsa,Sedans,13400,VAT deductible,6109.0,,Used,Automatic,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor","['CD player', 'MP3', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'Power steering', 'Traction control']",,1.0,No,12.0,,,,,Cloth
8487,8487,Opel Corsa,Sedans,11990,VAT deductible,11211.0,66.0,Used,Automatic,,other_fuel,,"Electrical side mirrors,Light sensor,Multi-function steering wheel,Power windows,Rain sensor","['Bluetooth', 'CD player', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,1.0,No,,,,,,Cloth
8514,8514,Opel Corsa,Sedans,11447,VAT deductible,12710.0,66.0,Used,Automatic,,other_fuel,,"Air conditioning,Electrical side mirrors,Multi-function steering wheel,Navigation system,Start-stop system",['On-board computer'],['Alloy wheels'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Power steering']",,1.0,No,,,,,,Cloth
8533,8533,Opel Corsa,Sedans,11900,Price negotiable,8300.0,66.0,Used,Automatic,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Heated steering wheel,Leather steering wheel,Light sensor,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['CD player', 'Radio']",['Alloy wheels'],"['ABS', 'Adaptive headlights', 'Central door lock', 'Daytime running lights', 'Fog lights', 'Power steering', 'Tire pressure monitoring system', 'Xenon headlights']",,3.0,No,,,,,,
8845,8845,Opel Corsa,Compact,13890,VAT deductible,19337.0,66.0,Used,Automatic,,other_fuel,140.0,"Air conditioning,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",,1.0,No,,,7.8,4.9,140.0,Part leather
8903,8903,Opel Corsa,Sedans,10270,VAT deductible,12177.0,55.0,Used,Automatic,,other_fuel,,"Air conditioning,Cruise control,Electrical side mirrors,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating",['Radio'],,"['ABS', 'Central door lock', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Passenger-side airbag', 'Power steering']",,1.0,No,,,,,,
9521,9521,Opel Corsa,Sedans,9745,VAT deductible,18310.0,51.0,Used,Manual,,other_fuel,,"Air conditioning,Cruise control,Multi-function steering wheel,Power windows","['Bluetooth', 'CD player', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Power steering']",,1.0,No,12.0,,,,,Cloth
9525,9525,Opel Corsa,Sedans,9745,VAT deductible,15693.0,51.0,Used,Manual,,other_fuel,,"Air conditioning,Cruise control,Multi-function steering wheel,Power windows","['Bluetooth', 'CD player', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Power steering']",,1.0,No,12.0,,,,,Cloth
9532,9532,Opel Corsa,Sedans,9800,VAT deductible,14803.0,51.0,Used,Manual,,other_fuel,,"Air conditioning,Cruise control,Navigation system,Rain sensor","['Bluetooth', 'On-board computer']",['Alloy wheels'],,,1.0,No,12.0,,,,,Cloth
9545,9545,Opel Corsa,Sedans,9499,VAT deductible,24019.0,51.0,Used,Manual,,other_fuel,,"Air conditioning,Cruise control,Multi-function steering wheel,Power windows","['Bluetooth', 'CD player', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Power steering']",,1.0,No,12.0,,,,,Cloth
9547,9547,Opel Corsa,Sedans,9499,VAT deductible,20365.0,51.0,Used,Manual,,other_fuel,,"Air conditioning,Cruise control,Multi-function steering wheel,Power windows","['Bluetooth', 'CD player', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Fog lights', 'Power steering']",,1.0,No,12.0,,,,,Cloth
9552,9552,Opel Corsa,Compact,9790,VAT deductible,12147.0,66.0,Used,Manual,,other_fuel,120.0,"Air conditioning,Electrical side mirrors,Hill Holder,Multi-function steering wheel,Power windows","['Bluetooth', 'CD player', 'Hands-free equipment', 'On-board computer', 'Radio']",['Trailer hitch'],"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,5.0,6.8,4.3,120.0,Cloth
9850,9850,Opel Corsa,Compact,15490,VAT deductible,355.0,66.0,Employee's car,Automatic,,other_fuel,143.0,"Air conditioning,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system camera,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,0.0,No,,6.0,7.8,5.4,143.0,Cloth
9941,9941,Opel Corsa,Compact,16990,VAT deductible,2500.0,66.0,Demonstration,Automatic,,other_fuel,157.0,"Air conditioning,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system self-steering,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Tinted windows","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen']","['ABS', 'Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition', 'Xenon headlights']",6.0,0.0,No,,6.0,8.5,6.1,157.0,Cloth
10012,10012,Opel Corsa,Compact,16090,VAT deductible,10.0,66.0,New,Automatic,,other_fuel,157.0,"Air conditioning,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,,No,,6.0,8.6,,157.0,Cloth
10094,10094,Opel Corsa,Compact,15490,VAT deductible,355.0,66.0,Employee's car,Automatic,,other_fuel,140.0,"Air conditioning,Cruise control,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,0.0,No,,,7.8,4.8,140.0,Cloth
10144,10144,Opel Corsa,Compact,14890,VAT deductible,1990.0,66.0,Demonstration,Automatic,,Benzine,143.0,"Air conditioning,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Tinted windows","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']",['Alloy wheels'],"['ABS', 'Central door lock', 'Central door lock with remote control', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",6.0,0.0,No,,6.0,7.8,5.4,143.0,Cloth
10167,10167,Opel Corsa,Compact,10350,VAT deductible,,,New,Manual,,other_fuel,128.0,"Air conditioning,Electrical side mirrors,Hill Holder,Power windows","['CD player', 'On-board computer', 'Radio', 'USB']",,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,,No,,5.0,7.3,4.7,128.0,
10194,10194,Opel Corsa,Compact,10940,VAT deductible,12.0,51.0,Pre-registered,Manual,122.0,other_fuel,134.0,"Air conditioning,Electrical side mirrors,Hill Holder,Multi-function steering wheel,Power windows","['On-board computer', 'Radio']",['Catalytic Converter'],"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,0.0,Yes,,5.0,7.4,,134.0,Cloth
10248,10248,Opel Corsa,Sedans,10790,,5000.0,55.0,Demonstration,Manual,,other_fuel,,"Air conditioning,Electrical side mirrors,Power windows","['Hands-free equipment', 'Radio']",,"['ABS', 'Central door lock', 'Driver-side airbag', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,0.0,No,,,,,,
10295,10295,Opel Corsa,Sedans,10083,VAT deductible,,51.0,New,Manual,,other_fuel,129.0,,,,,,,No,,5.0,7.3,4.7,129.0,
10428,10428,Opel Corsa,Sedans,11000,,,51.0,New,Manual,,other_fuel,,"Air conditioning,Multi-function steering wheel,Power windows,Tinted windows","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio']","['Alloy wheels', 'Sport package', 'Sport seats']","['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,,,,,
11296,11296,Opel Insignia,Station wagon,21780,VAT deductible,28508.0,121.0,Used,Automatic,,other_fuel,141.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Electric tailgate,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'Radio', 'USB']","['Alloy wheels', 'Roof rack', 'Sport seats', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,6.0,7.7,5.3,141.0,Part leather
11342,11342,Opel Insignia,Station wagon,21900,VAT deductible,13600.0,100.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Electric tailgate,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock with remote control', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,1.0,No,,,,,,Part leather
11374,11374,Opel Insignia,Station wagon,20850,VAT deductible,22000.0,100.0,Used,Automatic,,Benzine,,,,,,,1.0,No,,,,,,
11455,11455,Opel Insignia,Sedans,18990,,34334.0,125.0,Used,Automatic,,Benzine,,"Air conditioning,Electrically adjustable seats,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system,Tinted windows","['Bluetooth', 'CD player', 'Radio', 'Sound system', 'USB']",['Alloy wheels'],"['ABS', 'Central door lock', 'Electronic stability control', 'Power steering', 'Side airbag', 'Xenon headlights']",6.0,2.0,No,,,,,,
11509,11509,Opel Insignia,Station wagon,18950,,35000.0,125.0,Used,Automatic,,Benzine,139.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Electric tailgate,Keyless central door lock,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Rain sensor,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'USB']","['Alloy wheels', 'Touch screen']","['Emergency brake assistant', 'Fog lights', 'Isofix', 'Tire pressure monitoring system', 'Traction control']",6.0,2.0,No,,,6.0,,139.0,Part leather
11527,11527,Opel Insignia,Sedans,18490,VAT deductible,11883.0,100.0,Used,Automatic,,Benzine,,"Air conditioning,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Start-stop system","['Bluetooth', 'Hands-free equipment', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,,,,,Cloth
11536,11536,Opel Insignia,Station wagon,16400,,20900.0,100.0,Used,Manual,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating","['Bluetooth', 'CD player', 'Hands-free equipment', 'Radio']",['Roof rack'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Passenger-side airbag', 'Power steering', 'Tire pressure monitoring system', 'Traction control']",6.0,2.0,No,,,,,,
11591,11591,Opel Insignia,Station wagon,18654,,13953.0,100.0,Used,Manual,,Benzine,,Park Distance Control,,,"['Passenger-side airbag', 'Side airbag']",,2.0,No,,,,,,
11613,11613,Opel Insignia,Sedans,17300,,26000.0,100.0,Used,Manual,,Benzine,,,,,,6.0,2.0,No,12.0,,,,,
11620,11620,Opel Insignia,Coupe,17094,,28142.0,81.0,Used,Manual,,Benzine,,Park Distance Control,,,"['Passenger-side airbag', 'Side airbag']",,2.0,No,,,,,,
11627,11627,Opel Insignia,Station wagon,18054,,24178.0,100.0,Used,Manual,,Benzine,,Park Distance Control,,,"['Passenger-side airbag', 'Side airbag']",,2.0,No,,,,,,
